nome=Daniel e Erick Pães e Doces ME, cnpj=85.572.055/0001-29, inscricaoEst=27901219-5, dataAbertura=08/04/2016, site=www.danielerick.com.br, email=treinamento@danielerick.com.br, cep=61621-180, rua=Rua das Flores, numero=477, bairro=Jardim Icaraí, cidade=Caucaia, estado=CE, telefone=(85) 2852-2198, celular=(85) 98840-5611
nome=Catarina e Eduardo Corretores Associados ME, cnpj=11.017.333/0001-40, inscricaoEst=25825725-3, dataAbertura=01/08/2015, site=www.catarinaeduardo.com.br, email=treinamento@catarinaeduardo.com.br, cep=60422-666, rua=Travessa da Oficina, numero=272, bairro=Aeroporto, cidade=Fortaleza, estado=CE, telefone=(85) 3666-7357, celular=(85) 99899-9632
nome=Emily e Juan Marketing Ltda, cnpj=52.926.900/0001-68, inscricaoEst=67305085-8, dataAbertura=11/12/2014, site=www.emilyjuan.com.br, email=contabilidade@emilyjuan.com.br, cep=61921-320, rua=Rua Francisco Inácio, numero=743, bairro=Alto Alegre II, cidade=Maracanaú, estado=CE, telefone=(85) 2866-2665, celular=(85) 98273-4335
nome=Julia e Stella Gráfica ME, cnpj=40.341.464/0001-86, inscricaoEst=37617150-2, dataAbertura=16/06/2013, site=www.juliastella.com.br, email=contabil@juliastella.com.br, cep=60180-661, rua=Vila Josiel Filho, numero=618, bairro=Cais do Porto, cidade=Fortaleza, estado=CE, telefone=(85) 3612-2599, celular=(85) 98396-7114
nome=Raquel e Giovanna Transportes Ltda, cnpj=40.341.464/0001-86, inscricaoEst=37617150-2, dataAbertura=16/06/2012, site=www.raquelgiovanna.com.br, email=marketing@raquelgiovanna.com.br, cep=62010-690, rua=Rua Major Franco, numero=618, bairro=Centro, cidade=Sobral, estado=CE, telefone=(88) 3612-2599, celular=(88) 98396-7114
nome=Julio e Isadora Lavanderia Ltda, cnpj=06.669.032/0001-60, inscricaoEst=02184874-2, dataAbertura=15/07/2011, site=www.julioisadora.com.br, email=seguranca@julioisadora.com.br, cep=60546-100, rua=Rua A, numero=318, bairro=Bom Jardim, cidade=Fortaleza, estado=CE, telefone=(85) 2616-8417, celular=(85) 99234-7341
nome=Manuela e Stella Informática ME, cnpj=51.108.609/0001-10, inscricaoEst=13567428-0, dataAbertura=03/04/2010, site=www.manuelastella.com.br, email=juridico@manuelastella.com.br, cep=63048-280, rua=Rua Manoel Balbino da Silva, numero=409, bairro=Cidade Universitária, cidade=Juazeiro do Norte, estado=CE, telefone=(88) 3746-8441, celular=(88) 98124-1112
nome=Luiz e Maitê Telas Ltda, cnpj=26.935.633/0001-85, inscricaoEst=45611503-0, dataAbertura=13/06/2009, site=www.luizmaite.com.br, email=comunicacoes@luizmaite.com.br, cep=60822-075, rua=Rua Doutor José Plutarco, numero=366, bairro=Cidade dos Funcionários, cidade=Fortaleza, estado=CE, telefone=(85) 3547-2529, celular=(85) 98553-8102
nome=Thiago e Evelyn Marketing ME, cnpj=29.039.279/0001-07, inscricaoEst=41116832-0, dataAbertura=14/01/2008, site=www.thiagoevelyn.com.br, email=orcamento@thiagoevelyn.com.br, cep=61621-015, rua=Rua Juaci Sampaio Pontes, numero=821, bairro=Jardim Icaraí, cidade=Caucaia, estado=CE, telefone=(85) 3983-5636, celular=(85) 98652-8556
nome=Raquel e César Mudanças Ltda, cnpj=30.675.172/0001-26, inscricaoEst=25389161-2, dataAbertura=16/12/2007, site=www.raquelcesar.com.br, email=treinamento@raquelcesar.com.br, cep=61656-380, rua=Rua B, numero=983, bairro=Arianópolis (Jurema), cidade=Caucaia, estado=CE, telefone=(85) 2650-9196, celular=(85) 99375-1378
nome=Emanuel e Sophia Publicidade e Propaganda ME, cnpj=43.590.776/0001-11, inscricaoEst=91985781-7, dataAbertura=09/02/2006, site=www.emanuelsophia.com.br, email=ti@emanuelsophia.com.br, cep=63501-155, rua=Rua Jaime Cavalcante de Albuquerque, numero=922, bairro=Bugi, cidade=Iguatu, estado=CE, telefone=(88) 3559-2972, celular=(88) 99264-2619
